# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  323       4.468035571965e-10       1.787641112160e-12       1.588226660761e-11       0.000000000000e+00       3.205094685180e-13       6.394313535594e-14       2.222785963587e-15 
  324       4.423553552632e-10       1.812918419270e-12       1.581265847349e-11       0.000000000000e+00       3.173431925040e-13       6.309173327057e-14       2.229309921370e-15 
  325       4.379289090699e-10       1.838139194539e-12       1.573801790633e-11       0.000000000000e+00       3.142173551321e-13       6.224957326623e-14       2.235488194181e-15 
  326       4.335256935981e-10       1.863292424619e-12       1.565836521144e-11       0.000000000000e+00       3.111307414866e-13       6.141606124786e-14       2.241313074943e-15 
  327       4.291471953576e-10       1.888366896448e-12       1.557372253582e-11       0.000000000000e+00       3.080820807736e-13       6.059058232808e-14       2.246776779095e-15 
  328       4.247949123860e-10       1.913351195954e-12       1.548411388502e-11       0.000000000000e+00       3.050700458098e-13       5.977250064788e-14       2.251871444259e-15 
  329       4.204703542486e-10       1.938233706755e-12       1.538956514009e-11       0.000000000000e+00       3.020932525101e-13       5.896115919743e-14       2.256589129904e-15 
  330       4.161750420376e-10       1.963002608867e-12       1.529010407448e-11       0.000000000000e+00       2.991502593759e-13       5.815587963682e-14       2.260921817014e-15 
  331       4.119105083718e-10       1.987645877403e-12       1.518576037090e-11       0.000000000000e+00       2.962395669829e-13       5.735596211680e-14       2.264861407753e-15 
  332       4.076781796022e-10       2.012152154649e-12       1.507656611982e-11       0.000000000000e+00       2.933598979452e-13       5.656082867578e-14       2.268401805056e-15 
  333       4.034790167524e-10       2.036513410958e-12       1.496255730407e-11       0.000000000000e+00       2.905110513483e-13       5.577046070853e-14       2.271545252305e-15 
  334       3.993138589085e-10       2.060722397437e-12       1.484377241211e-11       0.000000000000e+00       2.876930846009e-13       5.498498023731e-14       2.274296269655e-15 
  335       3.951835394719e-10       2.084771782701e-12       1.472025197964e-11       0.000000000000e+00       2.849060361149e-13       5.420450803424e-14       2.276659600977e-15 
  336       3.910888860313e-10       2.108654152531e-12       1.459203860703e-11       0.000000000000e+00       2.821499250982e-13       5.342916359795e-14       2.278640215786e-15 
  337       3.870307202340e-10       2.132362009519e-12       1.445917697680e-11       0.000000000000e+00       2.794247513471e-13       5.265906513016e-14       2.280243311164e-15 
  338       3.830098576579e-10       2.155887772722e-12       1.432171387102e-11       0.000000000000e+00       2.767304950387e-13       5.189432951228e-14       2.281474313683e-15 
  339       3.790271076834e-10       2.179223777316e-12       1.417969818871e-11       0.000000000000e+00       2.740671165234e-13       5.113507228199e-14       2.282338881329e-15 
  340       3.750832733643e-10       2.202362274245e-12       1.403318096330e-11       0.000000000000e+00       2.714345561172e-13       5.038140760987e-14       2.282842905428e-15 
  341       3.711791513006e-10       2.225295429870e-12       1.388221538005e-11       0.000000000000e+00       2.688327338944e-13       4.963344827599e-14       2.282992512564e-15 
  342       3.673155315094e-10       2.248015325628e-12       1.372685679350e-11       0.000000000000e+00       2.662615494801e-13       4.889130564650e-14       2.282794066513e-15 
  343       3.634931972968e-10       2.270513957676e-12       1.356716274483e-11       0.000000000000e+00       2.637208818423e-13       4.815508965022e-14       2.282254170156e-15 
  344       3.597129251298e-10       2.292783236545e-12       1.340319297938e-11       0.000000000000e+00       2.612105890848e-13       4.742490875528e-14       2.281379667410e-15 
  345       3.559754845080e-10       2.314814986795e-12       1.323500946400e-11       0.000000000000e+00       2.587305082391e-13       4.670086994567e-14       2.280177645152e-15 
  346       3.522816378349e-10       2.336600946660e-12       1.306267640452e-11       0.000000000000e+00       2.562804550575e-13       4.598307869786e-14       2.278655435138e-15 
  347       3.486321402901e-10       2.358132767705e-12       1.288626026316e-11       0.000000000000e+00       2.538602238051e-13       4.527163895741e-14       2.276820615930e-15 
  348       3.450277397008e-10       2.379402014475e-12       1.270582977597e-11       0.000000000000e+00       2.514695870526e-13       4.456665311556e-14       2.274681014822e-15 
  349       3.414691764135e-10       2.400400164148e-12       1.252145597026e-11       0.000000000000e+00       2.491082954683e-13       4.386822198581e-14       2.272244709759e-15 
  350       3.379571831658e-10       2.421118606185e-12       1.233321218200e-11       0.000000000000e+00       2.467760776111e-13       4.317644478055e-14       2.269520031265e-15 
  351       3.344924849578e-10       2.441548641982e-12       1.214117407327e-11       0.000000000000e+00       2.444726397224e-13       4.249141908765e-14       2.266515564366e-15 
  352       3.310757989243e-10       2.461681484522e-12       1.194541964971e-11       0.000000000000e+00       2.421976655192e-13       4.181324084704e-14       2.263240150512e-15 
  353       3.277078342062e-10       2.481508258026e-12       1.174602927790e-11       0.000000000000e+00       2.399508159860e-13       4.114200432733e-14       2.259702889504e-15 
  354       3.243892918222e-10       2.501019997604e-12       1.154308570281e-11       0.000000000000e+00       2.377317291674e-13       4.047780210239e-14       2.255913141415e-15 
  355       3.211208645406e-10       2.520207648910e-12       1.133667406524e-11       0.000000000000e+00       2.355400199608e-13       3.982072502799e-14       2.251880528517e-15 
  356       3.179032367509e-10       2.539062067786e-12       1.112688191923e-11       0.000000000000e+00       2.333752799086e-13       3.917086221835e-14       2.247614937201e-15 
  357       3.147370843358e-10       2.557574019923e-12       1.091379924949e-11       0.000000000000e+00       2.312370769908e-13       3.852830102275e-14       2.243126519904e-15 
  358       3.116230745424e-10       2.575734180506e-12       1.069751848883e-11       0.000000000000e+00       2.291249554174e-13       3.789312700215e-14       2.238425697033e-15 
  359       3.085618658546e-10       2.593533133867e-12       1.047813453561e-11       0.000000000000e+00       2.270384354208e-13       3.726542390579e-14       2.233523158887e-15 
  360       3.055541078639e-10       2.610961373137e-12       1.025574477112e-11       0.000000000000e+00       2.249770130484e-13       3.664527364774e-14       2.228429867582e-15 
  361       3.026004411422e-10       2.628009299898e-12       1.003044907705e-11       0.000000000000e+00       2.229401599550e-13       3.603275628357e-14       2.223157058975e-15 
  362       2.997014971124e-10       2.644667223834e-12       9.802349852909e-12       0.000000000000e+00       2.209273231951e-13       3.542794998689e-14       2.217716244588e-15 
  363       2.968578979209e-10       2.660925362380e-12       9.571552033426e-12       0.000000000000e+00       2.189379250156e-13       3.483093102599e-14       2.212119213532e-15 
  364       2.940702563091e-10       2.676773840381e-12       9.338163106011e-12       0.000000000000e+00       2.169713626482e-13       3.424177374041e-14       2.206378034429e-15 
  365       2.913391754850e-10       2.692202689733e-12       9.102293128169e-12       0.000000000000e+00       2.150270081019e-13       3.366055051756e-14       2.200505057340e-15 
  366       2.886652489948e-10       2.707201849044e-12       8.864054744929e-12       0.000000000000e+00       2.131042079551e-13       3.308733176929e-14       2.194512915685e-15 
  367       2.860490605951e-10       2.721761163279e-12       8.623563206267e-12       0.000000000000e+00       2.112022831487e-13       3.252218590853e-14       2.188414528169e-15 
  368       2.834911841239e-10       2.735870383417e-12       8.380936384544e-12       0.000000000000e+00       2.093205287778e-13       3.196517932586e-14       2.182223100705e-15 
  369       2.809921833730e-10       2.749519166097e-12       8.136294791924e-12       0.000000000000e+00       2.074582138850e-13       3.141637636611e-14       2.175952128337e-15 
  370       2.785526119592e-10       2.762697073272e-12       7.889761597805e-12       0.000000000000e+00       2.056145812520e-13       3.087583930498e-14       2.169615397169e-15 
  371       2.761729521798e-10       2.775394856406e-12       7.641453884509e-12       0.000000000000e+00       2.037889849112e-13       3.034361112552e-14       2.163224299099e-15 
  372       2.738534292031e-10       2.787608365144e-12       7.391456001612e-12       0.000000000000e+00       2.019813090322e-13       2.981966315273e-14       2.156779656314e-15 
  373       2.715941893609e-10       2.799334790791e-12       7.139845203911e-12       0.000000000000e+00       2.001915650071e-13       2.930394532556e-14       2.150279580901e-15 
  374       2.693953603283e-10       2.810571396332e-12       6.886700328885e-12       0.000000000000e+00       1.984197551230e-13       2.879640317389e-14       2.143722132758e-15 
  375       2.672570509427e-10       2.821315517196e-12       6.632101806512e-12       0.000000000000e+00       1.966658724742e-13       2.829697778024e-14       2.137105319185e-15 
  376       2.651793510220e-10       2.831564562026e-12       6.376131669073e-12       0.000000000000e+00       1.949299008744e-13       2.780560574138e-14       2.130427094470e-15 
  377       2.631623311838e-10       2.841316013452e-12       6.118873560963e-12       0.000000000000e+00       1.932118147688e-13       2.732221912996e-14       2.123685359475e-15 
  378       2.612060426635e-10       2.850567428852e-12       5.860412748499e-12       0.000000000000e+00       1.915115791468e-13       2.684674545619e-14       2.116877961226e-15 
  379       2.593105171332e-10       2.859316441127e-12       5.600836129733e-12       0.000000000000e+00       1.898291494534e-13       2.637910762945e-14       2.110002692501e-15 
  380       2.574757665207e-10       2.867560759464e-12       5.340232244259e-12       0.000000000000e+00       1.881644715022e-13       2.591922391996e-14       2.103057291414e-15 
  381       2.557017828274e-10       2.875298170110e-12       5.078691283023e-12       0.000000000000e+00       1.865174813869e-13       2.546700792040e-14       2.096039441004e-15 
  382       2.539885379475e-10       2.882526537134e-12       4.816305098131e-12       0.000000000000e+00       1.848881053942e-13       2.502236850757e-14       2.088946768824e-15 
  383       2.523359834868e-10       2.889243803203e-12       4.553167212662e-12       0.000000000000e+00       1.832762599154e-13       2.458520980404e-14       2.081776846527e-15 
  384       2.507440505808e-10       2.895447990342e-12       4.289372830475e-12       0.000000000000e+00       1.816818513589e-13       2.415543113975e-14       2.074527189453e-15 
  385       2.492126497137e-10       2.901137200710e-12       4.025018846019e-12       0.000000000000e+00       1.801047760624e-13       2.373292701373e-14       2.067195256218e-15 
  386       2.477416705370e-10       2.906309617362e-12       3.760203854142e-12       0.000000000000e+00       1.785449202050e-13       2.331758705567e-14       2.059778448299e-15 
  387       2.463309816883e-10       2.910963505025e-12       3.495028159901e-12       0.000000000000e+00       1.770021597197e-13       2.290929598761e-14       2.052274109626e-15 
  388       2.449804306094e-10       2.915097210857e-12       3.229593788373e-12       0.000000000000e+00       1.754763602050e-13       2.250793358554e-14       2.044679526164e-15 
  389       2.436898433659e-10       2.918709165223e-12       2.964004494462e-12       0.000000000000e+00       1.739673768377e-13       2.211337464111e-14       2.036991925503e-15 
  390       2.424590244650e-10       2.921797882462e-12       2.698365772708e-12       0.000000000000e+00       1.724750542849e-13       2.172548892320e-14       2.029208476447e-15 
  391       2.412877566745e-10       2.924361961651e-12       2.432784867102e-12       0.000000000000e+00       1.709992266160e-13       2.134414113962e-14       2.021326288599e-15 
  392       2.401758008414e-10       2.926400087379e-12       2.167370780888e-12       0.000000000000e+00       1.695397172153e-13       2.096919089872e-14       2.013342411950e-15 
  393       2.391228957108e-10       2.927911030513e-12       1.902234286378e-12       0.000000000000e+00       1.680963386938e-13       2.060049267106e-14       2.005253836463e-15 
  394       2.381287577440e-10       2.928893648966e-12       1.637487934758e-12       0.000000000000e+00       1.666688928018e-13       2.023789575102e-14       1.997057491667e-15 
  395       2.371930809378e-10       2.929346888464e-12       1.373246065902e-12       0.000000000000e+00       1.652571703407e-13       1.988124421848e-14       1.988750246239e-15 
  396       2.363155366426e-10       2.929269783321e-12       1.109624818176e-12       0.000000000000e+00       1.638609510755e-13       1.953037690043e-14       1.980328907593e-15 
  397       2.354957733816e-10       2.928661457198e-12       8.467421382500e-13       0.000000000000e+00       1.624800036469e-13       1.918512733264e-14       1.971790221467e-15 
  398       2.347334166688e-10       2.927521123879e-12       5.847177909101e-13       0.000000000000e+00       1.611140854835e-13       1.884532372131e-14       1.963130871513e-15 
  399       2.340280688283e-10       2.925848088035e-12       3.236733688634e-13       0.000000000000e+00       1.597629427140e-13       1.851078890466e-14       1.954347478881e-15 
  400       2.333793088126e-10       2.923641745996e-12       6.373230255056e-14       0.000000000000e+00       1.584263100795e-13       1.818134031463e-14       1.945436601808e-15 
  401       2.327866920212e-10       2.920901586515e-12      -1.949801300459e-13       0.000000000000e+00       1.571039108454e-13       1.785678993853e-14       1.936394735207e-15 
  402       2.322497501196e-10       2.917627191542e-12      -4.523367935916e-13       0.000000000000e+00       1.557954567140e-13       1.753694428061e-14       1.927218310249e-15 
  403       2.317679908575e-10       2.913818236985e-12      -7.082086855910e-13       0.000000000000e+00       1.545006477367e-13       1.722160432380e-14       1.917903693960e-15 
  404       2.313408978878e-10       2.909474493486e-12      -9.624649265778e-13       0.000000000000e+00       1.532191722256e-13       1.691056549126e-14       1.908447188797e-15 
  405       2.309679305852e-10       2.904595827186e-12      -1.214972750306e-12       0.000000000000e+00       1.519507066666e-13       1.660361760811e-14       1.898845032246e-15 
  406       2.306485238647e-10       2.899182200492e-12      -1.465597493938e-12       0.000000000000e+00       1.506949156307e-13       1.630054486301e-14       1.889093396402e-15 
  407       2.303820880004e-10       2.893233672849e-12      -1.714202588241e-12       0.000000000000e+00       1.494514516870e-13       1.600112576983e-14       1.879188387560e-15 
  408       2.301680084441e-10       2.886750401503e-12      -1.960649547768e-12       0.000000000000e+00       1.482199553144e-13       1.570513312930e-14       1.869126045800e-15 
  409       2.300056456440e-10       2.879732642277e-12      -2.204797961058e-12       0.000000000000e+00       1.470000548140e-13       1.541233399062e-14       1.858902344579e-15 
  410       2.298943759616e-10       2.872181469555e-12      -2.446519720786e-12       0.000000000000e+00       1.457914314931e-13       1.512253450154e-14       1.848514307376e-15 
  411       2.298337163886e-10       2.864100962788e-12      -2.685742289556e-12       0.000000000000e+00       1.445940179407e-13       1.483571628673e-14       1.837963402056e-15 
  412       2.298232038910e-10       2.855496098941e-12      -2.922406947245e-12       0.000000000000e+00       1.434078066024e-13       1.455190482438e-14       1.827252265924e-15 
  413       2.298623545585e-10       2.846372041546e-12      -3.156454689789e-12       0.000000000000e+00       1.422327851011e-13       1.427112498769e-14       1.816383599897e-15 
  414       2.299506634519e-10       2.836734141980e-12      -3.387826229512e-12       0.000000000000e+00       1.410689361965e-13       1.399340103852e-14       1.805360168892e-15 
  415       2.300876044514e-10       2.826587940748e-12      -3.616461995461e-12       0.000000000000e+00       1.399162377428e-13       1.371875662101e-14       1.794184802207e-15 
  416       2.302726301045e-10       2.815939168758e-12      -3.842302133733e-12       0.000000000000e+00       1.387746626482e-13       1.344721475514e-14       1.782860393905e-15 
  417       2.305051714738e-10       2.804793748610e-12      -4.065286507809e-12       0.000000000000e+00       1.376441788333e-13       1.317879783042e-14       1.771389903196e-15 
  418       2.307846379849e-10       2.793157795870e-12      -4.285354698882e-12       0.000000000000e+00       1.365247491896e-13       1.291352759941e-14       1.759776354819e-15 
  419       2.311104172744e-10       2.781037620353e-12      -4.502446006193e-12       0.000000000000e+00       1.354163315385e-13       1.265142517140e-14       1.748022839427e-15 
  420       2.314818750380e-10       2.768439727404e-12      -4.716499447358e-12       0.000000000000e+00       1.343188785897e-13       1.239251100598e-14       1.736132513971e-15 
  421       2.318983548780e-10       2.755370819176e-12      -4.927453758699e-12       0.000000000000e+00       1.332323379002e-13       1.213680490666e-14       1.724108602077e-15 
  422       2.323591781516e-10       2.741837795915e-12      -5.135247395578e-12       0.000000000000e+00       1.321566518327e-13       1.188432601451e-14       1.711954394437e-15 
  423       2.328636438187e-10       2.727847757237e-12      -5.339818532726e-12       0.000000000000e+00       1.310917575143e-13       1.163509280170e-14       1.699673249185e-15 
  424       2.334110282896e-10       2.713408003410e-12      -5.541105064575e-12       0.000000000000e+00       1.300375867955e-13       1.138912306519e-14       1.687268592285e-15 
  425       2.340005852733e-10       2.698526036634e-12      -5.739044605589e-12       0.000000000000e+00       1.289940662086e-13       1.114643392026e-14       1.674743917910e-15 
  426       2.346315456254e-10       2.683209562322e-12      -5.933574490594e-12       0.000000000000e+00       1.279611169264e-13       1.090704179421e-14       1.662102788827e-15 
  427       2.353031171955e-10       2.667466490381e-12      -6.124631775110e-12       0.000000000000e+00       1.269386547209e-13       1.067096241988e-14       1.649348836782e-15 
  428       2.360144846757e-10       2.651304936492e-12      -6.312153235683e-12       0.000000000000e+00       1.259265899221e-13       1.043821082932e-14       1.636485762877e-15 
  429       2.367648094484e-10       2.634733223391e-12      -6.496075370215e-12       0.000000000000e+00       1.249248273767e-13       1.020880134738e-14       1.623517337960e-15 
  430       2.375532294340e-10       2.617759882148e-12      -6.676334398295e-12       0.000000000000e+00       1.239332664065e-13       9.982747585309e-15       1.610447403002e-15 
  431       2.383788589389e-10       2.600393653452e-12      -6.852866261531e-12       0.000000000000e+00       1.229518007674e-13       9.760062434393e-15       1.597279869483e-15 
  432       2.392407885037e-10       2.582643488884e-12      -7.025606623879e-12       0.000000000000e+00       1.219803186079e-13       9.540758059534e-15       1.584018719775e-15 
  433       2.401380847507e-10       2.564518552205e-12      -7.194490871977e-12       0.000000000000e+00       1.210187024280e-13       9.324845892878e-15       1.570668007524e-15 
  434       2.410697902322e-10       2.546028220635e-12      -7.359454115475e-12       0.000000000000e+00       1.200668290376e-13       9.112336627421e-15       1.557231858034e-15 
  435       2.420349232780e-10       2.527182086129e-12      -7.520431187366e-12       0.000000000000e+00       1.191245695154e-13       8.903240210615e-15       1.543714468647e-15 
  436       2.430324778439e-10       2.507989956663e-12      -7.677356644315e-12       0.000000000000e+00       1.181917891674e-13       8.697565837984e-15       1.530120109132e-15 
  437       2.440614233589e-10       2.488461857513e-12      -7.830164766994e-12       0.000000000000e+00       1.172683474859e-13       8.495321946727e-15       1.516453122059e-15 
  438       2.451207045739e-10       2.468608032533e-12      -7.978789560412e-12       0.000000000000e+00       1.163540981077e-13       8.296516209333e-15       1.502717923192e-15 
  439       2.462092414090e-10       2.448438945440e-12      -8.123164754242e-12       0.000000000000e+00       1.154488887733e-13       8.101155527190e-15       1.488919001864e-15 
  440       2.473259288018e-10       2.427965281091e-12      -8.263223803159e-12       0.000000000000e+00       1.145525612854e-13       7.909246024189e-15       1.475060921363e-15 
  441       2.484696365550e-10       2.407197946764e-12      -8.398899887165e-12       0.000000000000e+00       1.136649514672e-13       7.720793040344e-15       1.461148319316e-15 
  442       2.496392091847e-10       2.386148073442e-12      -8.530125911925e-12       0.000000000000e+00       1.127858891219e-13       7.535801125391e-15       1.447185908071e-15 
  443       2.508334657680e-10       2.364827017089e-12      -8.656834509093e-12       0.000000000000e+00       1.119151979905e-13       7.354274032407e-15       1.433178475078e-15 
  444       2.520511997910e-10       2.343246359934e-12      -8.778958036648e-12       0.000000000000e+00       1.110526957110e-13       7.176214711411e-15       1.419130883275e-15 
  445       2.532911789970e-10       2.321417911749e-12      -8.896428579223e-12       0.000000000000e+00       1.101981937773e-13       7.001625302983e-15       1.405048071469e-15 
  446       2.545521452340e-10       2.299353711133e-12      -9.009177948434e-12       0.000000000000e+00       1.093514974970e-13       6.830507131866e-15       1.390935054721e-15 
  447       2.558328143028e-10       2.277066026788e-12      -9.117137683216e-12       0.000000000000e+00       1.085124059512e-13       6.662860700579e-15       1.376796924725e-15 
  448       2.571318758050e-10       2.254567358804e-12      -9.220239050149e-12       0.000000000000e+00       1.076807119523e-13       6.498685683027e-15       1.362638850195e-15 
  449       2.584481152456e-10       2.231869973321e-12      -9.318424866119e-12       0.000000000000e+00       1.068562373064e-13       6.337976887411e-15       1.348465388560e-15 
  450       2.597807850009e-10       2.208984487336e-12      -9.411685386910e-12       0.000000000000e+00       1.060389399389e-13       6.180712014105e-15       1.334278395740e-15 
  451       2.611292450596e-10       2.185921240609e-12      -9.500023580968e-12       0.000000000000e+00       1.052288101555e-13       6.026863488932e-15       1.320079049466e-15 
  452       2.624928417740e-10       2.162690759136e-12      -9.583443419397e-12       0.000000000000e+00       1.044258356314e-13       5.876402449288e-15       1.305868531819e-15 
  453       2.638709077805e-10       2.139303756153e-12      -9.661949883312e-12       0.000000000000e+00       1.036300013914e-13       5.729298735360e-15       1.291648029211e-15 
  454       2.652627619201e-10       2.115771133143e-12      -9.735548971193e-12       0.000000000000e+00       1.028412897891e-13       5.585520881341e-15       1.277418732355e-15 
  455       2.666677091591e-10       2.092103980834e-12      -9.804247706233e-12       0.000000000000e+00       1.020596804873e-13       5.445036106643e-15       1.263181836240e-15 
  456       2.680850405097e-10       2.068313580206e-12      -9.868054143697e-12       0.000000000000e+00       1.012851504368e-13       5.307810307120e-15       1.248938540102e-15 
  457       2.695140329499e-10       2.044411403494e-12      -9.926977378268e-12       0.000000000000e+00       1.005176738567e-13       5.173808046275e-15       1.234690047406e-15 
  458       2.709539493451e-10       2.020409115191e-12      -9.981027551405e-12       0.000000000000e+00       9.975722221382e-14       5.042992546485e-15       1.220437565808e-15 
  459       2.724040383675e-10       1.996318573052e-12      -1.003021585869e-11       0.000000000000e+00       9.900376420216e-14       4.915325680207e-15       1.206182307141e-15 
  460       2.738635344174e-10       1.972151829097e-12      -1.007455455719e-11       0.000000000000e+00       9.825726572286e-14       4.790767961203e-15       1.191925487381e-15 
  461       2.753316575436e-10       1.947921130613e-12      -1.011405697280e-11       0.000000000000e+00       9.751768986372e-14       4.669278535751e-15       1.177668326622e-15 
  462       2.768076133635e-10       1.923638921161e-12      -1.014873750759e-11       0.000000000000e+00       9.678499687883e-14       4.550815173860e-15       1.163412049054e-15 
  463       2.782905929843e-10       1.899317841576e-12      -1.017861164719e-11       0.000000000000e+00       9.605914416829e-14       4.435334260490e-15       1.149157882931e-15 
  464       2.797797729230e-10       1.874970730973e-12      -1.020369596809e-11       0.000000000000e+00       9.534008625780e-14       4.322790786764e-15       1.134907060551e-15 
  465       2.812743150270e-10       1.850610627750e-12      -1.022400814503e-11       0.000000000000e+00       9.462777477833e-14       4.213138341185e-15       1.120660818226e-15 
  466       2.827733663951e-10       1.826250770588e-12      -1.023956695836e-11       0.000000000000e+00       9.392215844582e-14       4.106329100854e-15       1.106420396255e-15 
  467       2.842760592972e-10       1.801904599460e-12      -1.025039230137e-11       0.000000000000e+00       9.322318304076e-14       4.002313822682e-15       1.092187038902e-15 
  468       2.857815110958e-10       1.777585756632e-12      -1.025650518763e-11       0.000000000000e+00       9.253079138788e-14       3.901041834610e-15       1.077961994368e-15 
  469       2.872888241656e-10       1.753308087664e-12      -1.025792775838e-11       0.000000000000e+00       9.184492333582e-14       3.802461026820e-15       1.063746514762e-15 
  470       2.887970858148e-10       1.729085642418e-12      -1.025468328986e-11       0.000000000000e+00       9.116551573674e-14       3.706517842955e-15       1.049541856080e-15 
  471       2.903053682051e-10       1.704932676058e-12      -1.024679620067e-11       0.000000000000e+00       9.049250242601e-14       3.613157271335e-15       1.035349278175e-15 
  472       2.918127282725e-10       1.680863650054e-12      -1.023429205912e-11       0.000000000000e+00       8.982581420185e-14       3.522322836170e-15       1.021170044735e-15 
  473       2.933182076478e-10       1.656893233189e-12      -1.021719759057e-11       0.000000000000e+00       8.916537880496e-14       3.433956588776e-15       1.007005423250e-15 
  474       2.948208325769e-10       1.633036302556e-12      -1.019554068480e-11       0.000000000000e+00       8.851112089821e-14       3.347999098793e-15       9.928566849948e-16 
  475       2.963196138418e-10       1.609307944568e-12      -1.016935040336e-11       0.000000000000e+00       8.786296204628e-14       3.264389445401e-15       9.787251049947e-16 
  476       2.978135466807e-10       1.585723455957e-12      -1.013865698691e-11       0.000000000000e+00       8.722082069529e-14       3.183065208534e-15       9.646119620050e-16 
  477       2.993016107085e-10       1.562298344780e-12      -1.010349186261e-11       0.000000000000e+00       8.658461215249e-14       3.103962460096e-15       9.505185384828e-16 
  478       3.007827698380e-10       1.539048331420e-12      -1.006388765141e-11       0.000000000000e+00       8.595424856589e-14       3.027015755178e-15       9.364461205607e-16 
  479       3.022559721994e-10       1.515989349592e-12      -1.001987817545e-11       0.000000000000e+00       8.532963890389e-14       2.952158123273e-15       9.223959980215e-16 
  480       3.037201500617e-10       1.493137547346e-12      -9.971498465408e-12       0.000000000000e+00       8.471068893501e-14       2.879321059493e-15       9.083694642715e-16 
  481       3.051742197529e-10       1.470509288069e-12      -9.918784767828e-12       0.000000000000e+00       8.409730120745e-14       2.808434515783e-15       8.943678163150e-16 
  482       3.066170815804e-10       1.448121151489e-12      -9.861774552501e-12       0.000000000000e+00       8.348937502880e-14       2.739426892138e-15       8.803923547276e-16 
  483       3.080476197517e-10       1.425989934680e-12      -9.800506519800e-12       0.000000000000e+00       8.288680644568e-14       2.672225027821e-15       8.664443836305e-16 
  484       3.094647022950e-10       1.404132653064e-12      -9.735020608038e-12       0.000000000000e+00       8.228948822338e-14       2.606754192573e-15       8.525252106645e-16 
  485       3.108671809795e-10       1.382566541415e-12      -9.665358000821e-12       0.000000000000e+00       8.169730982554e-14       2.542938077835e-15       8.386361469637e-16 
  486       3.122538912362e-10       1.361309054860e-12      -9.591561134400e-12       0.000000000000e+00       8.111015739376e-14       2.480698787962e-15       8.247785071294e-16 
  487       3.136236520780e-10       1.340377869887e-12      -9.513673705022e-12       0.000000000000e+00       8.052791372732e-14       2.419956831434e-15       8.109536092043e-16 
  488       3.149754096792e-10       1.319789260513e-12      -9.431743131901e-12       0.000000000000e+00       7.995047748351e-14       2.360644104828e-15       7.971626289973e-16 
  489       3.163086729801e-10       1.299553171506e-12      -9.345828011932e-12       0.000000000000e+00       7.937782144990e-14       2.302743288256e-15       7.834061583367e-16 
  490       3.176230909085e-10       1.279678000304e-12      -9.255990901648e-12       0.000000000000e+00       7.880993596877e-14       2.246249606772e-15       7.696846336000e-16 
  491       3.189183098878e-10       1.260172208751e-12      -9.162295890250e-12       0.000000000000e+00       7.824680986278e-14       2.191157941544e-15       7.559984800727e-16 
  492       3.201939738302e-10       1.241044323286e-12      -9.064808608201e-12       0.000000000000e+00       7.768843042422e-14       2.137462827606e-15       7.423481118495e-16 
  493       3.214497241291e-10       1.222302935133e-12      -8.963596235813e-12       0.000000000000e+00       7.713478340438e-14       2.085158451603e-15       7.287339317345e-16 
  494       3.226851996518e-10       1.203956700480e-12      -8.858727511828e-12       0.000000000000e+00       7.658585300287e-14       2.034238649546e-15       7.151563311423e-16 
  495       3.239000367327e-10       1.186014340673e-12      -8.750272742012e-12       0.000000000000e+00       7.604162185690e-14       1.984696904556e-15       7.016156899984e-16 
  496       3.250938691657e-10       1.168484642397e-12      -8.638303807742e-12       0.000000000000e+00       7.550207103064e-14       1.936526344618e-15       6.881123766399e-16 
  497       3.262663281972e-10       1.151376457863e-12      -8.522894174588e-12       0.000000000000e+00       7.496718000449e-14       1.889719740329e-15       6.746467477163e-16 
  498       3.274170425186e-10       1.134698704999e-12      -8.404118900906e-12       0.000000000000e+00       7.443692666445e-14       1.844269502644e-15       6.612191480900e-16 
  499       3.285456382595e-10       1.118460367631e-12      -8.282054646423e-12       0.000000000000e+00       7.391128729140e-14       1.800167680633e-15       6.478299107374e-16 
  500       3.296517389800e-10       1.102670495671e-12      -8.156779680824e-12       0.000000000000e+00       7.339023655045e-14       1.757405959222e-15       6.344793566490e-16 
  501       3.307349656637e-10       1.087338205306e-12      -8.028373892342e-12       0.000000000000e+00       7.287374748022e-14       1.715975656949e-15       6.211677947303e-16 
  502       3.317949367106e-10       1.072472679179e-12      -7.896918796340e-12       0.000000000000e+00       7.236179148219e-14       1.675867723709e-15       6.078955217028e-16 
  503       3.328312679295e-10       1.058083166582e-12      -7.762497543905e-12       0.000000000000e+00       7.185433831001e-14       1.637072738509e-15       5.946628220042e-16 
  504       3.338435725313e-10       1.044178983637e-12      -7.625194930432e-12       0.000000000000e+00       7.135135605880e-14       1.599580907209e-15       5.814699676895e-16 
  505       3.348314611211e-10       1.030769513485e-12      -7.485097404209e-12       0.000000000000e+00       7.085281115451e-14       1.563382060280e-15       5.683172183311e-16 
