# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.655753268405e-10       7.656835941535e-15       2.371024714820e-13       0.000000000000e+00       8.518983378556e-11       8.850109306843e-12      -7.346766050355e-15 
   41       1.680395649624e-10       8.317548551064e-15       2.277774463139e-13       0.000000000000e+00       8.097763479374e-11       8.448625714191e-12      -6.808588168520e-15 
   42       1.705309943037e-10       9.013740385973e-15       2.170491158491e-13       0.000000000000e+00       7.704598471022e-11       8.074899211611e-12      -6.511559941961e-15 
   43       1.730483087485e-10       9.745950131850e-15       2.049566742142e-13       0.000000000000e+00       7.335245214270e-11       7.723168046305e-12      -6.553565435275e-15 
   44       1.755943730407e-10       1.051479469383e-14       1.914591010511e-13       0.000000000000e+00       6.989134715158e-11       7.392510225707e-12      -6.886112944794e-15 
   45       1.781711144642e-10       1.132088881064e-14       1.764880114822e-13       0.000000000000e+00       6.665913929865e-11       7.082574408413e-12      -7.403333056889e-15 
   46       1.807773959075e-10       1.216481354214e-14       1.599674925042e-13       0.000000000000e+00       6.364069437414e-11       6.791896065639e-12      -7.975081394159e-15 
   47       1.834087303717e-10       1.304711494346e-14       1.418135486465e-13       0.000000000000e+00       6.080836971916e-11       6.517810427417e-12      -8.445517786501e-15 
   48       1.860595664087e-10       1.396826169973e-14       1.219474493813e-13       0.000000000000e+00       5.813052310148e-11       6.257290905951e-12      -8.676276884271e-15 
   49       1.887315723993e-10       1.492850700191e-14       1.003415139544e-13       0.000000000000e+00       5.560198654931e-11       6.009946965674e-12      -8.693685469671e-15 
   50       1.914271970042e-10       1.592798545751e-14       7.698528031663e-14       0.000000000000e+00       5.322062838053e-11       5.775721747847e-12      -8.580602759193e-15 
   51       1.941471515961e-10       1.696674739507e-14       5.187288131934e-14       0.000000000000e+00       5.097827570373e-11       5.554001520003e-12      -8.436285405997e-15 
   52       1.968902559378e-10       1.804475544443e-14       2.500319964584e-14       0.000000000000e+00       4.886029002404e-11       5.343575840361e-12      -8.377241744555e-15 
   53       1.996547688564e-10       1.916194789174e-14      -3.624711595032e-15       0.000000000000e+00       4.685016325638e-11       5.143069471177e-12      -8.506890823536e-15 
   54       2.024431372101e-10       2.031845574197e-14      -3.402710618528e-14       0.000000000000e+00       4.494567014863e-11       4.952460204688e-12      -8.813413592774e-15 
   55       2.052581991226e-10       2.151443551242e-14      -6.622377733925e-14       0.000000000000e+00       4.314612968023e-11       4.771881907542e-12      -9.247123705039e-15 
   56       2.081017158904e-10       2.275000673776e-14      -1.002337143222e-13       0.000000000000e+00       4.144753913342e-11       4.601167330819e-12      -9.748920040268e-15 
   57       2.109742799242e-10       2.402525135008e-14      -1.360751460237e-13       0.000000000000e+00       3.984236019831e-11       4.439828054276e-12      -1.024983297487e-14 
   58       2.138752226913e-10       2.534021305899e-14      -1.737655845303e-13       0.000000000000e+00       3.831930507792e-11       4.287034430600e-12      -1.067057065103e-14 
   59       2.168033878625e-10       2.669480887667e-14      -2.133161905068e-13       0.000000000000e+00       3.686644309305e-11       4.141844649615e-12      -1.094079188502e-14 
   60       2.197598695059e-10       2.808854110775e-14      -2.547132423412e-13       0.000000000000e+00       3.548184876128e-11       4.003999600369e-12      -1.106318195036e-14 
   61       2.227457482133e-10       2.952071726040e-14      -2.979324329446e-13       0.000000000000e+00       3.416505288470e-11       3.873277482059e-12      -1.106348163990e-14 
   62       2.257612203569e-10       3.099052849596e-14      -3.429440236984e-13       0.000000000000e+00       3.291384020518e-11       3.749249540305e-12      -1.097227955999e-14 
   63       2.288055353597e-10       3.249704603082e-14      -3.897126955459e-13       0.000000000000e+00       3.172414806865e-11       3.631268456150e-12      -1.082522709944e-14 
   64       2.318769329665e-10       3.403921753844e-14      -4.381974000846e-13       0.000000000000e+00       3.058996508958e-11       3.518456735049e-12      -1.066325339842e-14 
   65       2.349736068519e-10       3.561598765537e-14      -4.883601001825e-13       0.000000000000e+00       2.950498955643e-11       3.409941282131e-12      -1.052340122317e-14 
   66       2.380969735417e-10       3.722669724439e-14      -5.401944778309e-13       0.000000000000e+00       2.846824048665e-11       3.305640949712e-12      -1.040859595190e-14 
   67       2.412489857037e-10       3.887076250637e-14      -5.937030578959e-13       0.000000000000e+00       2.747945726044e-11       3.205625515783e-12      -1.031183954286e-14 
   68       2.444311335134e-10       4.054755821315e-14      -6.488889529584e-13       0.000000000000e+00       2.653739359809e-11       3.109879578671e-12      -1.022497818781e-14 
